\PrecedesEqual ⪯
\succeq ≽
\rationals ℚ
\oacute ó
\boxtimes ⊠
\plusmn ±
\bumpE ⪮
\xlarr 
\nLl ⋘̸
\dlcrop ⌍
\blacktriangleright ▸
\Phi Φ
\zdot ż
\lmoustache ⎰
\DownRightVector ⇁
\xsqcup ⊔
\frac12 ½
\nVdash ⊮
\ee ⅇ
\OverBar ¯
\lbrksld ⦏
\flat ♭
\xrArr 
\Vvdash ⊪
\upuparrows ⇈
\dlcorn ⌞
\vert |
\eg ⪚
\VerticalTilde ≀
\Subset ⋐
\nvrArr ⇏
\cirfnint ⨐
\iexcl ¡
\hslash ℏ
\duhar ⥯
\Sqrt √
\NotTildeTilde ≉
\sum ∑
\ntilde ñ
\DotEqual ≐
\scpolint ⨓
\mid ∣
\lceil ⌈
\quaternions ℍ
\Fopf 𝔽
\Wscr 𝒲
\Lmidot Ŀ
\HARDcy Ъ
\forall ∀
\el ⪙
\diams ♦
\oror ⩖
\ratio ∶
\rbbrk 〕
\nleq ≰
\dagger †
\perp ⊥
\zscr 𝓏
\NotSucceedsTilde ≿̸
\bmod mod
\quot "
\nsubseteq ⊈
\Iuml Ï
\spades ♠
\osol ⊘
\EmptySmallSquare ◽
\sqsup ⊐
\cularrp ⤽
\times ×
\wfr 𝔴
\LongLeftRightArrow 
\RightAngleBracket 〉
\lhblk ▄
\lHar ⥢
\ngt ≯
\Vee ⋁
\sqsupseteq ⊒
\dotplus ∔
\bigcirc ◯
\phiv ϕ
\otimes ⊗
\nsqsupe ⋣
\sstarf ⋆
\qfr 𝔮
\Bopf 𝔹
\harrw ↭
\leqq ≦
\backsim ∽
\leftharpoondown ↽
\geqslant ⩾
\blk14 ░
\beta β
\ac ⤏
\vellip ⋮
\bigodot ⊙
\olcross ⦻
\CapitalDifferentialD ⅅ
\uparrow ↑
\dwangle ⦦
\larr ←
\lowbar _
\Ffr 𝔉
\rbrksld ⦎
\squ □
\hkswarow ⤦
\lopf 𝕝
\Colon ∷
\nge ≱⃥
\int ∫
\ffllig ﬄ
\npar ∦
\af ⁡
\Kopf 𝕂
\Ouml Ö
\LessLess ⪡
\euml ë
\nsubseteqq ⊈
\SHCHcy Щ
\plus +
\acirc â
\RightFloor ⌋
\lhard ↽
\zeetrf ℨ
\para ¶
\asymp ≍
\aacute á
\NotTilde ≁
\egsdot ⪘
\CircleMinus ⊖
\DownRightTeeVector ⥟
\Del ∇
\blk34 ▓
\ltrif ◂
\csube ⫑
\Ograve Ò
\ntriangleleft ⋪
\vBar ⫨
\nmid ∤
\DoubleRightTee ⊨
\ccaps ⩍
\lesdoto ⪁
\kfr 𝔨
\gesl ⋛︀
\boxDL ╗
\hscr 𝒽
\yuml ÿ
\Scaron Š
\ImaginaryI ⅈ
\eDDot ⩷
\rdca ⤷
\OverBracket ⎴
\arcsin arcsin
\vBarv ⫩
\Mellintrf ℳ
\Edot Ė
\Gt ≫
\boxUR ╚
\RightTriangleBar ⧐
\ropf 𝕣
\it ⁢
\lim lim
\Yscr 𝒴
\yen ¥
\rang 〉
\ufr 𝔲
\ograve ò
\DoubleLongLeftArrow 
\Kcedil Ķ
\iecy е
\lne ≨
\epsilon ϵ
\cuvee ⋎
\alpha α
\circ ∘
\ncaron ň
\risingdotseq ≓
\ctdot ⋯
\lor ∨
\minusb ⊟
\Succeeds ≻
\plusdu ⨥
\preccurlyeq ≼
\rightleftarrows ⇄
\Superset ⊃
\DD ⅅ
\det det
\telrec ⌕
\suphsol ⊃/
\cemptyv ⦲
\les ⩽
\ngeqslant ≱
